ROI,start_s,end_s,duration_s,peak_to_peak
ROI.03 [],25.278,35.278,10.0,0.02950764608181643
ROI.03 [],25.787,35.787,10.0,0.02950764608181643
ROI.03 [],26.278,36.278,10.0,0.02950764608181643
ROI.03 [],26.779,36.778999999999996,9.999999999999996,0.02950764608181643
ROI.03 [],27.277,37.277,10.0,0.02950764608181643
ROI.03 [],27.789,37.789,10.0,0.02950764608181643
ROI.03 [],28.278,38.278,10.0,0.02950764608181643
ROI.03 [],28.778,38.778,10.0,0.02950764608181643
ROI.03 [],29.286,39.286,10.0,0.02950764608181643
ROI.03 [],29.786,39.786,10.0,0.02950764608181643
ROI.03 [],30.284,40.284,10.0,0.02950764608181643
ROI.03 [],30.778,40.778,10.0,0.02950764608181643
ROI.03 [],31.288,41.288,9.999999999999996,0.030188885918760858
ROI.03 [],31.78,41.78,10.0,0.030188885918760858
ROI.03 [],32.283,42.283,10.0,0.03193174479973246
ROI.03 [],32.783,42.783,10.0,0.026973135760836525
ROI.03 [],33.276,43.276,10.0,0.026973135760836525
ROI.03 [],33.792,43.792,10.0,0.026973135760836525
ROI.03 [],34.279,44.279,10.0,0.026973135760836525
ROI.03 [],34.777,44.777,10.0,0.02426853851436369
ROI.03 [],35.279,45.279,10.0,0.02426853851436369
ROI.03 [],35.777,45.777,10.0,0.026268191172975016
ROI.03 [],36.289,46.289,10.0,0.024439855253280827
ROI.03 [],36.777,46.777,10.0,0.024439855253280827
ROI.03 [],37.279,47.279,10.0,0.024439855253280827
ROI.03 [],37.778,47.778,10.0,0.024439855253280827
ROI.03 [],38.277,48.277,10.0,0.024439855253280827
ROI.03 [],38.787,48.787,10.0,0.024439855253280827
ROI.03 [],39.277,49.277,10.0,0.024439855253280827
ROI.03 [],39.789,49.789,10.0,0.024439855253280827
ROI.03 [],40.276,50.276,10.0,0.024439855253280827
ROI.03 [],40.787,50.787,10.0,0.024439855253280827
ROI.03 [],41.276,51.276,10.0,0.024439855253280827
ROI.03 [],41.786,51.786,10.0,0.03132389568933023
ROI.03 [],42.278,52.278,10.0,0.03132389568933023
ROI.03 [],42.787,52.787,10.0,0.03132389568933023
ROI.03 [],43.276,53.276,10.0,0.03132389568933023
ROI.03 [],43.778,53.778,10.0,0.03132389568933023
ROI.03 [],44.288,54.288,10.0,0.03132389568933023
ROI.03 [],44.777,54.777,10.0,0.03132389568933023
ROI.03 [],45.291,55.291,10.0,0.03132389568933023
ROI.03 [],45.777,55.777,10.0,0.027463232382924262
ROI.03 [],46.279,56.279,10.0,0.027463232382924262
ROI.03 [],46.776,56.776,10.0,0.027463232382924262
ROI.03 [],47.278,57.278,10.0,0.027463232382924262
ROI.03 [],47.786,57.786,10.0,0.027463232382924262
ROI.03 [],48.281,58.281,10.0,0.027463232382924262
ROI.03 [],48.778,58.778,10.0,0.027463232382924262
ROI.03 [],49.279,59.279,10.0,0.027463232382924262
ROI.03 [],49.783,59.783,10.0,0.027463232382924262
ROI.03 [],50.283,60.283,10.0,0.027463232382924262
ROI.03 [],50.785,60.785,10.0,0.027463232382924262
